City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,al jawf,29.5,38.75,22.47,21,1,4.96,SA,2025-03-20 12:17:46
220,amga,60.8953,131.9608,-12.84,87,100,3.47,RU,2025-03-20 12:17:47
221,carnarvon,-24.8667,113.6333,26.63,64,2,10.22,AU,2025-03-20 12:17:48
222,ancud,-41.8697,-73.8203,14.79,98,98,2.79,CL,2025-03-20 12:17:50
223,badger,64.8,-147.5333,-18.07,82,40,0.0,US,2025-03-20 12:17:51
224,greenville,35.6127,-77.3663,13.41,77,0,4.63,US,2025-03-20 12:17:52
225,kosh-agach,50.0,88.6667,-4.48,82,27,1.38,RU,2025-03-20 12:17:53
226,saint-pierre,-21.3393,55.4781,29.82,70,75,4.12,RE,2025-03-20 12:17:54
227,shihezi,44.3,86.0333,10.08,44,0,1.63,CN,2025-03-20 12:17:56
228,itoman,26.1247,127.6694,14.43,58,40,1.54,JP,2025-03-20 12:17:57
229,ribeira brava,32.65,-17.0667,18.35,66,54,10.04,PT,2025-03-20 12:17:59
230,igarka,67.4667,86.5833,-10.53,93,99,4.15,RU,2025-03-20 12:18:00
231,mandera,3.9366,41.867,38.84,22,87,3.36,KE,2025-03-20 12:18:01
232,arauca,7.0847,-70.7591,23.98,100,75,1.54,CO,2025-03-20 12:18:03
233,kharhial,20.2833,82.7667,38.93,10,7,2.28,IN,2025-03-20 12:18:04
234,alice springs,-23.7,133.8833,27.75,61,100,3.09,AU,2025-03-20 12:18:05
235,qaqortoq,60.7167,-46.0333,-10.45,66,2,5.68,GL,2025-03-20 12:18:06
236,gao,16.6362,1.637,40.36,4,28,6.37,ML,2025-03-20 12:18:07
237,olovyannaya,50.95,115.5667,1.4,81,87,3.94,RU,2025-03-20 12:18:09
238,greymouth,-42.4667,171.2,11.49,83,0,2.04,NZ,2025-03-20 12:18:10
239,nago,26.5881,127.9761,13.33,64,8,3.74,JP,2025-03-20 12:18:11
240,margate,51.3813,1.3862,15.49,66,30,3.65,GB,2025-03-20 12:18:14
241,jamaame,0.0697,42.745,32.79,45,94,6.85,SO,2025-03-20 12:18:15
242,prado,-17.3411,-39.2208,29.07,64,90,4.08,BR,2025-03-20 12:18:16
243,nasir,15.5894,32.5634,37.81,11,5,5.1,SD,2025-03-20 12:18:18
244,warmbad,-28.45,18.7333,27.47,47,100,3.28,NA,2025-03-20 12:18:20
245,dzhangala,49.2167,50.3333,8.23,28,73,6.27,KZ,2025-03-20 12:18:21
246,shahecheng,36.9383,114.5058,17.65,11,0,3.26,CN,2025-03-20 12:18:22
247,mossel bay,-34.1831,22.146,28.96,75,70,2.23,ZA,2025-03-20 12:18:23
248,peniche,39.3558,-9.3811,16.78,72,44,9.78,PT,2025-03-20 12:18:24
249,dem'yanovo,60.3511,47.0842,-0.99,79,80,4.84,RU,2025-03-20 12:18:25
250,esmeraldas,-19.7625,-44.3139,24.31,64,45,2.51,BR,2025-03-20 12:18:27
251,abadeh,31.1608,52.6506,18.13,31,73,10.95,IR,2025-03-20 12:18:28
252,lihue,21.9789,-159.3672,22.77,73,100,6.17,US,2025-03-20 12:18:22
253,illizi,26.4833,8.4667,34.93,8,12,4.37,DZ,2025-03-20 12:18:30
254,haiku-pauwela,20.9219,-156.3051,21.81,80,0,9.83,US,2025-03-20 12:18:31
255,tuy hoa,13.0833,109.3,21.54,80,97,6.15,VN,2025-03-20 12:18:33
256,queenstown,-31.8976,26.8753,30.42,21,82,1.09,ZA,2025-03-20 12:18:35
257,vilyuchinsk,52.9306,158.4028,-4.85,95,100,3.71,RU,2025-03-20 12:18:36
258,valparaiso,-33.0393,-71.6273,19.44,78,100,2.06,CL,2025-03-20 12:18:37
259,wenchang,30.904,118.4887,14.09,46,0,2.6,CN,2025-03-20 12:18:39
260,lebu,-37.6167,-73.65,14.47,94,44,4.85,CL,2025-03-20 12:18:41
261,zhanaozen,43.3,52.8,8.4,70,99,8.57,KZ,2025-03-20 12:18:42
262,al ghayzah,16.2079,52.176,29.04,53,6,6.01,YE,2025-03-20 12:18:44
263,natal,-5.795,-35.2094,29.36,79,40,4.12,BR,2025-03-20 12:16:50
264,holualoa,19.6228,-155.9522,21.04,85,0,2.57,US,2025-03-20 12:18:46
265,kristiansund,63.1115,7.732,5.36,87,75,5.14,NO,2025-03-20 12:18:47
266,lata,40.1629,-8.3327,16.94,45,76,6.25,PT,2025-03-20 12:18:48
267,xinqing,48.2333,129.5,-5.16,98,67,1.18,CN,2025-03-20 12:18:49
268,dunedin,-45.8742,170.5036,13.22,92,17,2.68,NZ,2025-03-20 12:18:51
269,rincon,32.296,-81.2354,12.98,83,75,3.6,US,2025-03-20 12:18:52
270,orsa,54.5153,30.4053,8.58,55,6,4.47,BY,2025-03-20 12:18:53
271,labytnangi,66.6572,66.4183,-5.16,93,100,5.02,RU,2025-03-20 12:18:54
272,hasaki,35.7333,140.8333,9.97,63,27,3.42,JP,2025-03-20 12:18:55
273,el prat de llobregat,41.3278,2.0947,15.39,84,75,9.77,ES,2025-03-20 12:18:57
274,sosenskiy,54.059,35.9623,5.35,67,27,3.96,RU,2025-03-20 12:18:58
275,thunder bay,48.4001,-89.3168,-8.01,57,20,3.6,CA,2025-03-20 12:18:59
276,alamo,20.9167,-97.6833,20.6,85,74,3.58,MX,2025-03-20 12:19:00
277,coronado,32.6859,-117.1831,13.06,65,20,0.89,US,2025-03-20 12:19:01
278,langsa,4.4683,97.9683,25.81,79,99,0.81,ID,2025-03-20 12:19:03
279,port mathurin,-19.6833,63.4167,27.9,78,15,7.17,MU,2025-03-20 12:19:04
280,ilulissat,69.2167,-51.1,-9.99,73,75,4.12,GL,2025-03-20 12:19:05
281,mili,6.0815,171.735,27.08,82,42,10.57,MH,2025-03-20 12:19:06
282,kloulklubed,7.0419,134.2556,28.68,77,98,6.8,PW,2025-03-20 12:19:07
283,salgueiro,-8.0742,-39.1192,29.0,54,51,5.08,BR,2025-03-20 12:19:08
284,dongyang,29.2678,120.2253,12.23,59,3,1.29,CN,2025-03-20 12:19:10
285,al kharijah,25.4514,30.5464,23.49,17,0,8.64,EG,2025-03-20 12:19:11
286,maua,-23.6678,-46.4614,21.8,83,82,2.76,BR,2025-03-20 12:19:12
287,caico,-6.4583,-37.0978,29.49,57,39,4.75,BR,2025-03-20 12:19:13
288,raunds,52.3443,-0.5366,18.02,65,11,2.66,GB,2025-03-20 12:19:14
289,colonia menno,-22.3667,-59.8167,25.38,60,0,2.14,PY,2025-03-20 12:19:16
290,nar'yan-mar,67.6713,53.087,-4.34,85,99,5.55,RU,2025-03-20 12:19:17
291,brak,27.5496,14.2714,28.36,15,1,7.36,LY,2025-03-20 12:19:18
292,vadso,70.0744,29.7487,-2.91,80,75,9.77,NO,2025-03-20 12:19:19
293,maragogi,-9.0122,-35.2225,29.67,63,12,3.65,BR,2025-03-20 12:19:20
294,lazaro cardenas,17.9583,-102.2,21.51,90,51,2.2,MX,2025-03-20 12:19:22
295,trumann,35.6737,-90.5073,5.07,68,88,7.69,US,2025-03-20 12:19:23
296,tolanaro,-25.0319,46.9987,24.29,86,100,6.83,MG,2025-03-20 12:19:24
297,sotkamo,64.1333,28.4167,-0.73,71,15,2.29,FI,2025-03-20 12:19:25
298,deir ez-zor,35.3359,40.1408,17.32,35,82,4.0,SY,2025-03-20 12:19:26
